"Date","Price","Open","High","Low","Vol.","Change %"
"12/22/2021","1,342.20","1,348.10","1,350.00","1,330.55","966.46K","2.34%"
"12/21/2021","1,311.45","1,306.00","1,348.95","1,306.00","995.21K","0.57%"
"12/20/2021","1,304.00","1,321.00","1,327.60","1,290.00","1.74M","-1.29%"
"12/17/2021","1,321.00","1,411.00","1,411.00","1,307.00","2.50M","-5.60%"
"12/16/2021","1,399.35","1,435.00","1,435.00","1,390.55","2.32M","1.41%"
"12/15/2021","1,379.95","1,421.30","1,429.95","1,296.00","13.14M","-7.76%"
"12/14/2021","1,496.05","1,547.00","1,555.05","1,490.75","1.39M","-3.79%"
"12/13/2021","1,555.05","1,578.00","1,578.75","1,546.10","740.61K","-0.80%"
"12/10/2021","1,567.55","1,605.00","1,609.00","1,563.00","845.71K","-1.66%"
"12/09/2021","1,593.95","1,550.00","1,644.70","1,525.10","2.85M","2.61%"
"12/08/2021","1,553.40","1,590.25","1,610.00","1,546.25","726.49K","-1.53%"
"12/07/2021","1,577.50","1,623.35","1,635.00","1,571.00","631.25K","-1.68%"
"12/06/2021","1,604.45","1,658.00","1,680.05","1,598.70","632.80K","-2.66%"
"12/03/2021","1,648.35","1,615.00","1,698.00","1,601.00","1.32M","2.97%"
"12/02/2021","1,600.85","1,642.00","1,671.65","1,592.00","1.09M","-2.19%"
"12/01/2021","1,636.70","1,715.00","1,725.00","1,629.15","1.29M","-3.70%"
"11/30/2021","1,699.60","1,729.95","1,770.00","1,678.20","2.20M","-2.12%"
"11/29/2021","1,736.45","1,700.00","1,810.00","1,700.00","4.56M","-2.59%"
"11/26/2021","1,782.60","1,760.00","1,832.00","1,663.00","6.53M","-0.90%"
"11/25/2021","1,798.75","1,766.70","1,873.70","1,711.10","13.02M","2.64%"
"11/24/2021","1,752.45","1,503.00","1,785.00","1,502.95","21.54M","17.24%"
"11/23/2021","1,494.70","1,360.00","1,525.00","1,360.00","12.95M","9.94%"
"11/22/2021","1,359.60","1,509.00","1,519.00","1,271.00","25.11M","-12.89%"
